employee_id,employee_name,employee_email,date,hours_worked,project,status,notes
EMP001,John Smith,john.smith@example.com,2025-08-08,7.7,Project Alpha,pending,
EMP001,John Smith,john.smith@example.com,2025-08-11,4.3,Project Beta,pending,
EMP001,John Smith,john.smith@example.com,2025-08-12,8.8,Project Gamma,pending,
EMP001,John Smith,john.smith@example.com,2025-08-13,8.3,Project Gamma,pending,
EMP001,John Smith,john.smith@example.com,2025-08-14,8.0,Project Gamma,pending,
EMP001,John Smith,john.smith@example.com,2025-08-15,5.3,Project Gamma,pending,
EMP001,John Smith,john.smith@example.com,2025-08-18,8.0,Project Beta,pending,
EMP001,John Smith,john.smith@example.com,2025-08-19,8.7,Project Beta,pending,
EMP001,John Smith,john.smith@example.com,2025-08-20,8.4,Project Alpha,pending,
EMP001,John Smith,john.smith@example.com,2025-08-21,7.7,Project Gamma,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-08,8.5,Project Beta,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-11,7.9,Project Alpha,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-12,8.6,Project Alpha,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-13,8.1,,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-14,8.0,,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-15,8.9,Project Alpha,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-19,8.7,Maintenance,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-20,7.7,Project Gamma,pending,
EMP002,Jane Doe,jane.doe@example.com,2025-08-21,8.0,Project Beta,pending,
